fetched_at,symbol,address,dex,chainId,priceUsd,volume24h,liquidity
2025-08-09T20:45:01.195501,DTF6900,jG97DK3ASuZzYi5zBkQdr6Zf7s1ekdXkJbhvyyMiLmW,raydium,solana,0.0003236,4538.68,49885.07
2025-08-09T20:45:01.195501,DTF6900,6M9rLwZ9rDWAED7U552NwBDtrTy3nWiepBjGv268LFWR,raydium,solana,0.000323,284.24,5242.16
2025-08-09T20:45:01.195501,DTF6900,4xVcj77rkoQe4zpKAB8vP96hmjgjjeMUJDUGBQeg2654,raydium,solana,0.0003246,41.61,2901.96
2025-08-09T20:45:01.195501,DTF6900,FrEuxiAHMgtYe8BGVG5gcdhXUydRMHXwhq8gxg5E8iwQ,raydium,solana,0.000326,29.48,402.48
2025-08-09T20:46:06.090897,DTF6900,jG97DK3ASuZzYi5zBkQdr6Zf7s1ekdXkJbhvyyMiLmW,raydium,solana,0.0003241,4542.64,49975.47
2025-08-09T20:46:06.090897,DTF6900,6M9rLwZ9rDWAED7U552NwBDtrTy3nWiepBjGv268LFWR,raydium,solana,0.000323,284.24,5242.16
2025-08-09T20:46:06.090897,DTF6900,4xVcj77rkoQe4zpKAB8vP96hmjgjjeMUJDUGBQeg2654,raydium,solana,0.0003246,41.61,2901.96
2025-08-09T20:46:06.090897,DTF6900,FrEuxiAHMgtYe8BGVG5gcdhXUydRMHXwhq8gxg5E8iwQ,raydium,solana,0.000326,29.48,402.48
2025-08-09T20:47:07.253183,DTF6900,jG97DK3ASuZzYi5zBkQdr6Zf7s1ekdXkJbhvyyMiLmW,raydium,solana,0.0003241,4542.64,49975.47
2025-08-09T20:47:07.253183,DTF6900,6M9rLwZ9rDWAED7U552NwBDtrTy3nWiepBjGv268LFWR,raydium,solana,0.000323,284.24,5242.16
2025-08-09T20:47:07.253183,DTF6900,4xVcj77rkoQe4zpKAB8vP96hmjgjjeMUJDUGBQeg2654,raydium,solana,0.0003246,41.61,2901.96
2025-08-09T20:47:07.253183,DTF6900,FrEuxiAHMgtYe8BGVG5gcdhXUydRMHXwhq8gxg5E8iwQ,raydium,solana,0.000326,29.48,402.48
2025-08-09T20:48:08.484387,DTF6900,jG97DK3ASuZzYi5zBkQdr6Zf7s1ekdXkJbhvyyMiLmW,raydium,solana,0.0003241,4542.64,49975.47
2025-08-09T20:48:08.484387,DTF6900,6M9rLwZ9rDWAED7U552NwBDtrTy3nWiepBjGv268LFWR,raydium,solana,0.000323,284.24,5242.16
2025-08-09T20:48:08.484387,DTF6900,4xVcj77rkoQe4zpKAB8vP96hmjgjjeMUJDUGBQeg2654,raydium,solana,0.0003246,41.61,2901.96
2025-08-09T20:48:08.484387,DTF6900,FrEuxiAHMgtYe8BGVG5gcdhXUydRMHXwhq8gxg5E8iwQ,raydium,solana,0.000326,29.48,402.48
2025-08-09T20:49:09.631260,DTF6900,jG97DK3ASuZzYi5zBkQdr6Zf7s1ekdXkJbhvyyMiLmW,raydium,solana,0.0003241,4542.64,49975.47
2025-08-09T20:49:09.631260,DTF6900,6M9rLwZ9rDWAED7U552NwBDtrTy3nWiepBjGv268LFWR,raydium,solana,0.000323,284.24,5242.16
2025-08-09T20:49:09.631260,DTF6900,4xVcj77rkoQe4zpKAB8vP96hmjgjjeMUJDUGBQeg2654,raydium,solana,0.0003246,41.61,2901.96
2025-08-09T20:49:09.631260,DTF6900,FrEuxiAHMgtYe8BGVG5gcdhXUydRMHXwhq8gxg5E8iwQ,raydium,solana,0.000326,29.48,402.48
2025-08-09T20:50:10.667044,DTF6900,jG97DK3ASuZzYi5zBkQdr6Zf7s1ekdXkJbhvyyMiLmW,raydium,solana,0.0003241,4542.64,49975.47
2025-08-09T20:50:10.667044,DTF6900,6M9rLwZ9rDWAED7U552NwBDtrTy3nWiepBjGv268LFWR,raydium,solana,0.000323,284.24,5242.16
2025-08-09T20:50:10.667044,DTF6900,4xVcj77rkoQe4zpKAB8vP96hmjgjjeMUJDUGBQeg2654,raydium,solana,0.0003246,41.61,2901.96
2025-08-09T20:50:10.667044,DTF6900,FrEuxiAHMgtYe8BGVG5gcdhXUydRMHXwhq8gxg5E8iwQ,raydium,solana,0.000326,29.48,402.48
2025-08-09T20:51:11.611450,DTF6900,jG97DK3ASuZzYi5zBkQdr6Zf7s1ekdXkJbhvyyMiLmW,raydium,solana,0.0003241,4542.64,49975.47
2025-08-09T20:51:11.611450,DTF6900,6M9rLwZ9rDWAED7U552NwBDtrTy3nWiepBjGv268LFWR,raydium,solana,0.000323,284.24,5242.16
2025-08-09T20:51:11.611450,DTF6900,4xVcj77rkoQe4zpKAB8vP96hmjgjjeMUJDUGBQeg2654,raydium,solana,0.0003246,41.61,2901.96
2025-08-09T20:51:11.611450,DTF6900,FrEuxiAHMgtYe8BGVG5gcdhXUydRMHXwhq8gxg5E8iwQ,raydium,solana,0.000326,29.48,402.48
2025-08-09T20:52:40.741663,DTF6900,jG97DK3ASuZzYi5zBkQdr6Zf7s1ekdXkJbhvyyMiLmW,raydium,solana,0.0003241,4542.01,49975.47
2025-08-09T20:52:40.741663,DTF6900,6M9rLwZ9rDWAED7U552NwBDtrTy3nWiepBjGv268LFWR,raydium,solana,0.000323,284.24,5242.16
2025-08-09T20:52:40.741663,DTF6900,4xVcj77rkoQe4zpKAB8vP96hmjgjjeMUJDUGBQeg2654,raydium,solana,0.0003246,41.61,2901.96
2025-08-09T20:52:40.741663,DTF6900,FrEuxiAHMgtYe8BGVG5gcdhXUydRMHXwhq8gxg5E8iwQ,raydium,solana,0.000326,29.48,402.48
